entity,total_mentions,doc_freq
미래파,266,29
젊은시인들,236,34
환상,158,18
서정,124,21
서정시,104,22
주체,75,16
타자,70,25
감각,67,11
시뮬라크르,60,7
실재,59,16
욕망,56,15
무의식,56,14
자본주의,43,18
은유,42,12
그로테스크,40,12
자아,37,7
환유,37,11
패러디,33,4
환각,29,3
혼종성,28,7
미래파논쟁,27,7
미학,27,14
한국시,26,8
동일성,26,13
아방가르드,26,7
서정적주체,26,4
윤리,25,10
분열,25,11
환상시,25,6
시적인것,24,8
향유,24,5
의미주의,24,1
전위시,23,4
소외,22,12
소통,22,14
실험,22,4
서정성,22,10
불안,21,8
정치,21,10
알레고리,21,5
오타쿠,21,2
노동,20,7
전위,20,10
자본,20,12
이미지,20,9
난해성,19,10
해체,19,7
상징계,18,11
생태시,18,6
아우라,18,5
페미니즘,18,7
환상성,18,7
마녀적무의식의시,18,3
우발성의시,18,3
리얼리즘,17,10
폭력,17,7
대중문화,17,6
포스트모더니즘,17,11
탈주,17,7
정신분석,17,3
뉴웨이브,17,8
모더니즘,16,12
자연,16,7
여성성,16,6
정치성,16,8
서정적자아,16,9
노동시,16,4
자치지구,16,1
표면의시,16,3
가난,15,5
고통,15,8
한국문학,15,4
새로움,15,7
우울,15,5
미디어,15,1
아이러니,15,5
신자유주의,14,6
타자성,14,10
시와정치,14,6
공감,14,4
혁명,14,6
주체의분열,14,5
말하기,14,3
미로,14,1
무의식적욕망,14,4
분노,13,9
유령,13,5
재현,13,8
이데올로기,13,9
반복,13,3
시단,13,7
혼종,13,3
초현실주의,13,6
유토피아,13,3
유희,13,6
심층의시,13,3
평면의시,13,3
죽음,12,7
외국인노동자,12,4
디아스포라,12,3
공동체,12,5
슬픔,12,4
정념,12,4
전통,12,5
리듬,12,4
언어,12,6
아버지,12,3
충동,12,4
정동,12,3
시적스크린,12,2
정체성,11,9
이주노동자,11,4
현실,11,8
시적주체,11,6
풍자,11,5
심연,11,2
민중시,11,3
억압,11,5
상징,11,7
초자아,11,4
시적시선,11,2
분열분석,11,1
먹기,11,1
2차변용,11,1
목소리,11,1
새로운서정,10,6
신화적시간,10,1
기표,10,9
근대,10,9
근대문학,10,3
소설,10,4
엽기,10,4
세대론,10,5
전통서정,10,3
정치적인것,10,6
어른,10,1
전언,10,3
민중,10,6
침묵,10,6
파토스,10,8
비평,10,5
시인,10,4
노동자,10,7
숭고,10,4
여백,10,4
1인칭,10,2
정치적전위,9,3
권력,9,9
의미,9,4
결핍,9,4
다른서정,9,7
잉여,9,5
폭력성,9,3
문학의위기,9,4
감수성,9,5
2000년대젊은시인들,9,3
순수,9,4
생성,9,4
균열,9,4
근대적주체,9,4
포스트모던,9,2
리얼리티,9,4
실재계,9,6
비성년선언,9,1
전통서정시,9,5
이질혼재성,9,2
우발성,9,2
무의식적타자성,9,2
매너리즘,9,1
노동자들,8,2
시간,8,3
대타자,8,5
젊은시,8,4
감정,8,6
놀이,8,5
퀴어,8,4
시적화자,8,5
폐허,8,4
겨울,8,1
유머,8,3
신세대,8,3
위트,8,4
전복,8,7
일상,8,4
민주주의,8,6
자유,8,4
시학,8,5
시인들,8,6
상상력,8,5
원형의인간학,8,1
비정형의인간학,8,1
극적독백,8,1
무의미시,8,1
표면의언어,8,1
신서정,7,6
불화,7,3
2000년대문학,7,1
문예지,7,1
탈근대,7,4
사회학적상상력,7,2
형식실험,7,5
내면,7,5
2000년대시,7,4
오만,7,1
탈주체,7,4
비극,7,3
변신,7,4
서정시인,7,3
시차,7,2
기원,7,2
몽상,7,5
테크놀로지,7,4
서사,7,6
참여시,7,2
해방,7,4
산문시,7,4
시적자아,7,4
참여,7,3
서정적자아의권위,7,1
쾌락,7,1
사건,7,3
정신분석학,7,3
딕션,7,1
카오스,7,5
표면효과,7,2
증식,7,2
변형,7,2
실험적전위시,7,1
대중문화의패러디,7,2
휘발,7,1
양가성,7,2
세월호사건,7,1
디아스포라문학,7,1
대중의문학화,7,1
민주화,6,4
시대정신,6,4
감각적인것의분배,6,3
재난,6,2
고독,6,6
노숙자,6,2
아우슈비츠,6,2
잔혹성,6,3
부정,6,4
구축주의,6,2
고백,6,4
다양체,6,4
2000년대시인들,6,4
동화적상상력,6,2
우리,6,4
윤리학,6,3
자의식,6,4
영혼,6,3
다성성,6,4
서정적화자,6,4
사랑,6,4
현실원칙,6,5
장광설,6,4
중견시인들,6,2
시간성,6,4
새로운시,6,3
주체성,6,3
윤리성,6,3
치욕,6,1
매트릭스,6,2
상상계,6,6
모더니티,6,2
초현실,6,1
시적인식,6,2
백일몽,6,1
낭만적자아,6,1
늑대,6,1
쓰기,6,2
리좀,6,2
시적원천,6,2
탈주선,6,2
재영토화,6,4
마녀적상상력,6,2
테크놀로지적상상력,6,3
공간성,6,2
최소주체,6,1
당신,6,1
무의미,6,1
눈알,6,1
훼손된신체,6,1
경계,6,1
일점원근법,6,2
세월호,6,1
다중,5,2
정치적전위성,5,1
신춘문예,5,2
근대성,5,3
젊은세대,5,4
인간학,5,2
생명,5,3
개인주의,5,4
비정규직,5,4
외로움,5,2
절망,5,5
현대사회,5,2
이방인,5,2
예술,5,3
신화,5,3
이성,5,5
현대성,5,4
보편성,5,3
생태주의,5,4
감정이입,5,3
평면성,5,2
승화,5,3
아이덴티티,5,1
동화,5,3
아이,5,2
모니터킨트,5,3
내면성,5,4
치안,5,3
미학적실험,5,4
새로운세대,5,5
세계관,5,5
의식,5,4
타자의목소리,5,2
나르시시즘,5,3
비평의욕망,5,1
창조,5,3
문명,5,2
사투리,5,1
기성세대,5,3
비인칭,5,2
스타일,5,2
계급,5,4
저항,5,3
혁명가,5,2
형이상학,5,3
단독성,5,1
무한,5,1
일자,5,1
인공정원,5,2
다다,5,3
유희세계,5,1
소통의부재,5,2
하위문화,5,4
감응,5,2
빅토리아시대,5,1
감응적인물,5,1
대의,5,2
존재,5,3
접속,5,2
촛불,5,2
성교,5,2
무의식적환상,5,2
트라우마,5,2
탈재현,5,2
시조,5,2
원근법,5,2
인과성,5,1
이분법,5,4
오타쿠문화,5,1
반서정,5,3
독자,5,2
SNS,5,3
인형,5,1
조상,5,1
못된짓,5,1
탈장르적상상력,5,1
아시아계한국인들,4,1
다문화,4,4
신화적상상력,4,3
역사적시간,4,1
늙음,4,2
동음이의어,4,1
생태,4,4
장르문학,4,1
비성년,4,2
리얼리즘론,4,3
가족해체,4,1
악몽,4,4
현대시,4,3
기대지평,4,3
성찰,4,4
죽음충동,4,3
자율성,4,3
주관성,4,3
시비평,4,4
시코쿠,4,4
자기동일성,4,3
언어유희,4,4
젊은시인,4,4
감성,4,3
동일성의욕망,4,2
시적긴장,4,4
젠더,4,4
남성성,4,3
문학과윤리,4,2
후기자본주의,4,4
타인,4,3
우화,4,2
인간성,4,3
갱신,4,3
부끄러움,4,3
메타시,4,1
독백,4,4
호주머니,4,1
체제,4,3
불협화음,4,4
미학적,4,3
난해함,4,4
본격문학,4,2
물질성,4,3
시적실천,4,3
신화적,4,2
도시,4,3
TV,4,1
긴장,4,2
신진시인들,4,1
대중문화적감수성,4,1
이념,4,4
주체의상실,4,2
탈주체적,4,2
신세대시인들,4,2
역동성,4,2
익명,4,2
누이,4,1
원형,4,3
분열증,4,3
여성시,4,1
담론,4,3
의사소통성,4,1
비평가,4,3
섹슈얼리티,4,4
존재론적,4,4
용산참사,4,4
인어,4,1
멜랑콜리,4,2
미적방기,4,2
진리,4,3
2010년대시,4,3
자연서정시,4,2
사회운동,4,3
2천년대시인들,4,1
상징주의,4,3
허무의식,4,2
인접성의원리,4,2
물뱀,4,1
낭만주의,4,3
현실세계,4,1
화자,4,3
대의불가능성,4,1
현실성,4,3
대문자정치,4,2
아나키,4,1
우연성,4,3
비선형적이야기,4,2
환유성,4,3
타나토스,4,4
스크린,4,2
계보,4,3
연쇄,4,1
순수사건,4,1
환상체계,4,1
배척,4,1
기관없는신체,4,1
시적윤리성,4,1
경계인,4,1
에로틱파괴어린빌리지,4,1
교환가치,4,3
진실,4,2
육체,4,2
사용가치의새로움,4,1
시대담론,4,1
내면화,4,3
중년,4,1
역사,4,2
르네상스,4,1
스펙타클의시대,4,1
반反-소통,4,1
텍스트,4,3
살의,4,1
이데아,4,1
감성적체제,4,1
감성적분배,4,1
쉬르레알리즘,4,1
북한문학,4,1
미학화,4,1
문학의대중화,4,1
정치적정의,3,1
조선족여자,3,1
다문화공동체,3,1
다수적언어,3,1
외환위기,3,1
민족,3,3
민족문학,3,2
백수,3,1
문학과정치,3,2
세계문학,3,1
문학의정치성,3,3
실업,3,1
실직,3,2
문학,3,3
동물성,3,3
상실,3,2
재현의폭력성,3,1
서정시의불가능성,3,1
부조리,3,3
동화적세계,3,1
개인,3,2
자본의논리,3,2
여성문학,3,1
미학과정치,3,2
멜랑꼴리,3,2
비극성,3,3
공통감각,3,3
정치적,3,2
민중문학,3,2
학살,3,1
정치적상상력,3,2
희곡,3,3
리듬감,3,2
입체파,3,3
복수의나,3,2
전통적인서정,3,2
서정적인주체,3,1
꽃잎,3,3
젊은시들,3,1
텅빈중심,3,2
자아분열,3,1
미래파시,3,2
근대문학의종언,3,2
실존,3,3
현실사회주의,3,3
야생,3,2
위안,3,3
야만,3,1
쾌락원칙,3,3
다매체문화환경,3,1
유년,3,2
글쓰기,3,2
매체환경,3,1
문학교육,3,2
전망,3,2
공공의윤리,3,1
절제,3,2
표준어,3,1
자기기원,3,1
파시즘,3,3
상품,3,2
공동체의식,3,1
환멸,3,3
문학의윤리,3,1
언어의공공성,3,1
하위계층,3,1
상처,3,2
소통불가능성,3,3
실험적,3,3
정치시,3,2
테이스트,3,1
차별,3,2
시적언어,3,2
차이,3,3
시의윤리,3,1
냉소,3,2
모던보이,3,1
모험,3,1
동일자적시선,3,1
시문학,3,3
상징적질서,3,2
이상향,3,2
즐김,3,2
허무주의,3,2
환영,3,3
동일화,3,2
개성,3,2
바로크,3,2
기억,3,2
일상어,3,2
일상파,3,1
고뇌,3,1
시쓰기,3,3
서정적,3,2
윤리비평,3,1
단절,3,3
수치심,3,1
無用,3,1
한국현대시,3,2
마르크스주의,3,2
비문법,3,1
트랜스젠더,3,3
허무,3,2
유희적특성,3,1
난해시,3,1
발화자,3,2
음악성,3,2
시원,3,1
위조신분증,3,2
대의불충분성,3,1
대의제,3,1
제국,3,1
정치학,3,1
개인적자유,3,1
정치적자유,3,1
온몸,3,1
예술성,3,2
간극,3,1
스키조,3,1
모국어,3,2
모방,3,3
아나키스트,3,1
거대담론,3,3
마녀적무의식,3,2
그로테스크미학,3,1
마녀적타자성,3,3
보로메오의매듭,3,3
계열선,3,2
자해,3,2
자유연상,3,2
시적질료,3,2
위상학,3,2
고정점,3,2
매끄러운공간,3,3
탈영토성,3,3
실재적실재,3,3
상상적실재,3,3
상징적실재,3,3
에로스,3,3
탈내면성,3,1
평면의미학,3,1
우발성의진술,3,1
우발성의미학,3,1
시간의경과,3,1
몽타주기법,3,1
교차,3,1
표면,3,3
한국현대전위시,3,1
유년적환상,3,1
신화적환상,3,1
언어적환상,3,1
사회적환상,3,1
탈영토화,3,1
지시작용,3,1
현시작용,3,1
기호작용,3,1
빈칸,3,1
이율배반성,3,1
하위문화적상상력,3,2
젊은,3,1
탈국가적상상력,3,2
시뮬라시옹,3,1
작은이야기,3,1
나나,3,1
서정적권위,3,2
미학의정치,3,1
정치의미학,3,1
삶의실험,3,2
공통적인것,3,1
서민,3,1
서정적우주,3,1
비정합적인언어,3,1
구심적인주체,3,1
불행한서정,3,1
생태적인식,3,1
민중의식,3,1
식물성,3,2
이상세대,3,1
부성,3,1
다마구치,3,1
혼성주체,3,1
성소수자,3,1
설움,3,1
반反―소통의미학,3,1
형태파괴,3,1
커뮤니케이션,3,1
요리,3,1
감각의과잉,3,1
언어의가능성,3,1
이행,3,1
자존감,3,1
비현실,3,1
종속성,3,1
납화살,3,1
시학적-재현적체제,3,1
탈국가,3,1
재일조선인시,3,1
국경을넘는상상력,3,1
재일조선인문학,3,1
근본기분,3,1
촛불의향연,2,1
정치적감각,2,2
계몽,2,2
분단체제,2,2
코리안드림,2,1
근대적합리주의,2,2
시간-기억추억,2,1
유산,2,2
비역사적시간,2,1
다른문장,2,1
유령-되기,2,1
소멸,2,2
다중초점화,2,1
과잉,2,2
징후,2,1
민족주의,2,2
타자들,2,2
미성년,2,1
세계화,2,2
새로운빈곤,2,1
87년체제,2,1
한국소설,2,2
혼종적글쓰기,2,1
무중력공간,2,1
대중문화적상상력,2,2
젊은평론가들,2,1
젊은평론가,2,1
젊은비평가들,2,2
미학적전위,2,2
베스트셀러,2,1
문학성,2,2
시장성,2,2
가난한삶,2,2
공포,2,2
고독사,2,1
뜨거운연대,2,1
전통적인서정시,2,2
시사,2,2
계보학,2,2
인상주의,2,1
사실주의,2,2
지각,2,1
느낌의공동체,2,1
불통,2,2
관조,2,2
분열된주체,2,2
잔혹극,2,1
감각의폭력성,2,1
삶충동,2,1
잔혹동화,2,1
수용소,2,1
모던,2,2
언어미학,2,2
시=서정시,2,1
외계어,2,2
말장난,2,1
기술,2,1
행간,2,2
정서,2,2
객관성,2,2
주관,2,1
객관,2,2
수다스러움,2,1
감동,2,1
재현의리얼리티,2,1
제작,2,2
스펙터클,2,2
잔혹한/따뜻한서정시,2,1
교감,2,2
부정성,2,2
구성주의,2,1
무관심성,2,1
위반,2,2
내용,2,2
패러다임,2,2
탈승화,2,1
정체성의논리,2,1
2000년대의시인들,2,2
판타지,2,2
원본성,2,1
소통부재,2,2
근대이성,2,2
소외된노동,2,1
근대적이성,2,2
이항대립,2,2
신체감각,2,1
현상학,2,2
유령들,2,1
위계,2,2
카프카적인,2,1
카프카적,2,1
미학적인실험,2,2
기의,2,2
정치적예술,2,2
절충,2,1
한국시의갱신,2,1
반복과변주,2,2
비밀,2,1
산문,2,2
혐오,2,1
로스트제너레이션,2,1
비트제너레이션,2,1
중언부언,2,2
성적인기표,2,1
광장,2,2
거세,2,2
검은나나,2,2
물화,2,2
아스팔트킨트,2,2
가상,2,2
현대인,2,2
모성,2,2
停電,2,1
스위치,2,1
반어적,2,2
신세대작가,2,1
자기표현,2,2
드라마,2,1
통일성,2,1
확산적구조,2,1
대칭과반복의구조,2,1
혼종적,2,1
