entity,total_mentions,doc_freq
황병승,194,35
김민정,132,30
김경주,101,15
권혁웅,99,24
이장욱,82,24
이민하,75,21
김행숙,70,22
진은영,55,21
신형철,53,15
김수영,46,12
강계숙,44,3
김수이,42,10
신해욱,41,12
김언,38,15
조강석,37,5
이경수,36,6
김양헌,36,1
김진수,35,4
송찬호,34,6
심보선,33,12
이근화,33,13
이상,32,13
장석원,32,13
김근,29,11
강정,27,9
정재학,26,7
들뢰즈,24,13
유형진,24,15
장이지,23,5
황인숙,23,1
송재학,23,4
박상수,22,10
허수경,22,4
김춘수,22,5
랑시에르,20,5
문태준,20,13
이성복,20,10
안현미,20,3
고봉준,19,9
하재연,19,7
차창룡,19,2
조연호,18,8
황지우,18,13
박판식,18,5
이원,17,7
황병숭,17,6
황인찬,17,3
유성호,16,3
박남철,15,7
백무산,15,7
랑씨에르,15,2
이기인,14,8
김진희,14,1
김혜순,14,8
박준,14,3
이소호,14,1
이우성,13,3
플라톤,13,3
최승호,13,6
김이듬,13,10
기형도,13,6
장석주,13,3
김문주,13,1
김록,13,3
이수명,13,9
김경후,13,1
이기성,13,4
이광호,12,5
박상순,12,9
김신용,12,3
성기완,12,6
정영,11,6
박진성,11,7
송경동,10,5
하종오,10,4
김언희,10,5
김사인,10,3
최승자,10,6
김기택,10,3
이준규,10,4
콩디야크,10,1
조재룡,10,1
김형중,9,3
장정일,9,8
함성호,9,7
지젝,9,6
김중일,9,3
신영배,9,4
오형엽,9,1
함돈균,8,3
아리스토텔레스,8,2
남진우,8,4
이영주,8,7
박주택,8,3
서동욱,7,4
이제니,7,3
벤야민,7,5
손택수,7,5
이승원,7,5
박노해,7,6
하이데거,7,2
이문재,7,5
오규원,7,4
이세기,7,1
진수미,7,6
유하,7,3
나희덕,7,3
위선환,7,2
김승일,7,3
오은,7,5
김인환,7,2
박정대,7,2
바르트,7,2
베이컨,6,1
데카르트,6,4
라캉,6,4
서정주,6,4
도로시,6,1
롤랑바르트,6,4
함민복,6,2
알랭바디우,6,2
박슬기,6,1
김현,6,2
박서원,6,4
랭보,6,2
김소월,6,2
문인수,6,2
오오사키나나,6,1
가라따니고진,6,1
마종기,6,1
박후기,6,1
차미령,5,1
김병호,5,3
신철규,5,2
강성은,5,5
브레히트,5,2
박두규,5,1
김정환,5,2
황동규,5,4
김지하,5,5
리오타르,5,2
김구용,5,2
김종삼,5,4
김숭일,5,1
박성준,5,1
이이체,5,1
하상일,5,4
송두율,5,1
코마츠나나,5,1
최원식,5,1
이숭원,5,3
정현우,5,1
고명철,4,2
니체,4,4
서영채,4,1
김홍중,4,3
유희경,4,2
박수연,4,3
아도르노,4,3
보들레르,4,4
슬라보예지젝,4,3
오봉옥,4,1
이영광,4,2
박영근,4,1
고영민,4,2
권혁응,4,4
프로이트,4,4
백석,4,3
요시미순야,4,1
오세영,4,4
이성미,4,2
자크랑시에르,4,2
함기석,4,3
바디우,4,1
최하연,4,3
조말선,4,4
이형기,4,2
송승환,4,3
엘리엇,4,2
최장집,4,1
조인호,4,1
성미정,4,3
이형권,4,1
이재무,4,1
황혜경,4,2
폴록,4,1
허만하,4,1
여태천,4,1
가라따니,4,1
박진,3,2
복도훈,3,1
가라타니고진,3,3
정한아,3,2
안숙경,3,1
김혜진,3,1
강화길,3,1
박성우,3,3
수전손택,3,2
조기조,3,1
양창렬,3,2
토토,3,1
이남호,3,2
보르헤스,3,1
김명인,3,2
장석남,3,2
이시영,3,3
최치언,3,2
서태지,3,1
푸코,3,2
신경림,3,2
이병률,3,2
안도현,3,2
류신,3,2
바흐친,3,3
미하일바흐친,3,2
박동억,3,2
발터벤야민,3,1
신용목,3,3
서효인,3,3
최지인,3,1
루소,3,1
말라르메,3,3
야콥슨,3,2
전봉건,3,1
김성규,3,3
신동옥,3,2
고병권,3,1
가타리,3,3
진이정,3,3
호미바바,3,1
조정환,3,1
시인,3,2
안희연,3,1
정명교,3,1
데리다,3,1
다자이,3,1
최정례,3,1
이태선,3,1
박상륭,3,1
안웅선,3,1
황규관,2,1
정여울,2,1
조하형,2,1
손홍규,2,1
김애란,2,1
한유주,2,1
이수형,2,1
강동호,2,2
조연정,2,2
황정은,2,1
김미월,2,1
문성해,2,2
신기섭,2,2
한명원,2,1
류성훈,2,1
안미옥,2,1
허혜란,2,1
김이설,2,1
유희란,2,1
곽은영,2,2
황성희,2,2
곽명숙,2,1
레비나스,2,1
김남석,2,1
소월,2,2
김신정,2,1
이하석,2,2
성찬경,2,2
박형준,2,1
조정권,2,2
이은봉,2,2
이기철,2,2
정숙,2,1
이재훈,2,2
이윤학,2,2
신동엽,2,2
김남주,2,2
고흐,2,1
이중기,2,1
김소연,2,2
부르디외,2,2
채호기,2,2
김선우,2,2
박라연,2,2
네루다,2,1
바슐라르,2,2
김영승,2,2
칸트,2,2
조영석,2,1
오장환,2,1
오생근,2,1
붓다,2,1
쟌니반티모,2,1
최성만,2,2
김태우,2,1
손남훈,2,1
베를렌,2,2
오시쁘만젤쉬땀,2,1
김경인,2,2
조동범,2,2
황병송,2,2
황현산,2,2
유명숙,2,1
문혜원,2,2
레닌,2,1
정과리,2,2
이승훈,2,2
이경림,2,2
박태일,2,1
서정학,2,2
김안,2,2
김참,2,2
레비-스트로스,2,2
이경재,2,1
페터지마,2,1
이병철,2,2
안토니오네그리,2,1
최두석,2,1
사르트르,2,1
하린,2,1
박성민,2,1
이재복,2,1
고재종,2,1
정호승,2,1
루이지조야,2,1
호메로스,2,1
유홍준,2,2
장인수,2,2
시인들,2,2
기드보르,2,1
이상李箱,2,1
피에르-마리에롱,2,1
이지아,2,1
심행숙,2,1
신형천,2,1
신형선,2,1
양깅언,2,1
보드리야르,2,1
피에르마슈레,2,1
원로시인들,2,1
스테판말라르메,2,1
자끄랑씨에르,2,1
고야,2,1
에밀씨오랑,2,1
김진완,2,1
고현정,2,1
오자성,2,1
치창룡,2,1
임성용,1,1
표성배,1,1
조영관,1,1
김해자,1,1
광병승,1,1
WG제발트,1,1
윤지관,1,1
정영훈,1,1
최재봉,1,1
천명관,1,1
윤성희,1,1
조경란,1,1
강영숙,1,1
공지영,1,1
유종호,1,1
조은,1,1
김경현,1,1
편혜영,1,1
백가흠,1,1
김종은,1,1
이기호,1,1
박범신,1,1
김재영,1,1
김연수,1,1
전성태,1,1
강유정,1,1
허윤진,1,1
송종원,1,1
조효원,1,1
강지희,1,1
김나영,1,1
김남혁,1,1
양윤의,1,1
김태용,1,1
윤이형,1,1
안성호,1,1
최제훈,1,1
이홍,1,1
김유진,1,1
윤고은,1,1
김태환,1,1
찰스디킨즈,1,1
새커리,1,1
김훈,1,1
신경숙,1,1
김일영,1,1
마경덕,1,1
김지훈,1,1
이영옥,1,1
윤석정,1,1
윤진화,1,1
최명란,1,1
이용임,1,1
김륭,1,1
이은규,1,1
정은기,1,1
박미산,1,1
이선애,1,1
문정,1,1
양수덕,1,1
성은주,1,1
강윤미,1,1
정창준,1,1
이병국,1,1
이해존,1,1
김준현,1,1
장혜련,1,1
김나정,1,1
백진,1,1
임청연,1,1
이우현,1,1
김효동,1,1
주정미,1,1
반수연,1,1
류은경,1,1
송욱영,1,1
김도언,1,1
기노,1,1
정찬일,1,1
우승미,1,1
박찬순,1,1
이은조,1,1
유응오,1,1
서진연,1,1
김금희,1,1
진보경,1,1
박지영,1,1
이지원,1,1
연규상,1,1
이유,1,1
김은아,1,1
김미수,1,1
이은선,1,1
설은영,1,1
라유경,1,1
백수린,1,1
천재강,1,1
김가경,1,1
김종옥,1,1
조수경,1,1
조영한,1,1
송지현,1,1
레비스트로스,1,1
고붕준,1,1
프란시스베이컨,1,1
필립톰슨,1,1
제인베들러,1,1
이현승,1,1
골드만,1,1
비평가들,1,1
김기림,1,1
폴발레리,1,1
바바라스테파노바,1,1
칸딘스키,1,1
몬드리안,1,1
그린버그,1,1
이진경,1,1
고석규,1,1
엄경회,1,1
고인환,1,1
양심진경,1,1
김양선,1,1
자크랑시예르,1,1
카프카,1,1
베케트,1,1
루벤스,1,1
크라나흐,1,1
쇤베르크,1,1
피카소,1,1
김추자,1,1
앨리스,1,1
가르강튀아,1,1
샤갈,1,1
비어트릭스포터,1,1
권혁운,1,1
원효,1,1
정근원,1,1
셰익스피어,1,1
예수,1,1
천정환,1,1
백원근,1,1
L프리드먼,1,1
자크아탈리,1,1
도정일,1,1
고종석,1,1
신범순,1,1
신상회,1,1
피에르레비,1,1
박철순,1,1
김영태,1,1
천양희,1,1
노향림,1,1
신현정,1,1
박철,1,1
이숭하,1,1
최하림,1,1
이건청,1,1
정양,1,1
신대철,1,1
허수경시인,1,1
허시인,1,1
천양회,1,1
류인서,1,1
이창수,1,1
고영,1,1
장무령,1,1
하버마스,1,1
듀스,1,1
정현종,1,1
김중식,1,1
이정,1,1
조세회,1,1
아이젠슈타인,1,1
감진수,1,1
이연주,1,1
정끝별,1,1
도종환,1,1
김지녀,1,1
횔덜린,1,1
김윤환,1,1
정희성,1,1
박일환,1,1
엔첸스베르거,1,1
한스마그누스엔첸스베르거,1,1
잉게보르크바흐만,1,1
심진경,1,1
송태욱,1,1
박대현,1,1
피에르부르디외,1,1
쟌니바티모,1,1
박상진,1,1
김경복,1,1
송기한,1,1
택수,1,1
김유동,1,1
호르헤루이스보르헤스,1,1
유병록,1,1
황유원,1,1
미셸푸코,1,1
필립아리에스,1,1
PhilippeAries,1,1
시태지,1,1
임솔아,1,1
은희경,1,1
황정아,1,1
알렌카주판치치,1,1
이성민,1,1
이종영,1,1
테츠오,1,1
사무라히로아키,1,1
만지,1,1
홍준기,1,1
이현숭,1,1
박정태,1,1
바틀비,1,1
주판치치,1,1
서용순,1,1
제갈공명,1,1
사마중달,1,1
노발리스,1,1
김만정,1,1
이한하,1,1
라깡,1,1
프리이,1,1
이찬,1,1
유회경,1,1
질들뢰즈,1,1
조주관,1,1
게오르크트라클,1,1
파울첼란,1,1
장남준,1,1
Eliot,1,1
테니슨(A,1,1
Tennyson),1,1
브라우닝(R,1,1
Browning,1,1
브라우닝,1,1
테니슨,1,1
Deleuze,1,1
들뢰즈•펠릭스가타리,1,1
이정임,1,1
윤정임,1,1
소크라테스,1,1
디오니소스,1,1
키르케고르,1,1
돈후안,1,1
제임스밀,1,1
LindaK,1,1
김대중,1,1
노무현,1,1
박찬표,1,1
박상훈,1,1
1981년생시인조인호,1,1
조지W,1,1
부시,1,1
SlavojZizek,1,1
이수련,1,1
RanciGre,1,1
유재흥,1,1
申亨澈,1,1
강정구,1,1
황우석,1,1
슈레버,1,1
프루스뜨,1,1
Proust,1,1
톰웨이츠,1,1
TomWaits,1,1
張錫原,1,1
마르크스,1,1
맑스,1,1
김광규,1,1
정영의,1,1
정지용,1,1
하재봉,1,1
이육사,1,1
조지훈,1,1
박목월,1,1
박용래,1,1
최동호,1,1
김용택,1,1
한용운,1,1
유치환,1,1
박두진,1,1
김태동,1,1
윤의섭,1,1
배용제,1,1
김점용,1,1
임현정,1,1
신문수,1,1
조지레이코프,1,1
마크존슨,1,1
노양진,1,1
나익주,1,1
고은,1,1
이안,1,1
이종수,1,1
채은,1,1
임화,1,1
최금진,1,1
박보희,1,1
만해,1,1
미당,1,1
캐스린흄,1,1
KathrynHume,1,1
로즈마리잭슨,1,1
장보드리야르,1,1
하태환,1,1
박성호,1,1
Lyotard,1,1
이진우,1,1
야자와아이,1,1
김민,1,1
코제브,1,1
레이무,1,1
겐지,1,1
김웅권,1,1
아즈마히로키,1,1
이은미,1,1
네그리,1,1
송수권,1,1
나회덕,1,1
유흥준,1,1
이덕규,1,1
엄경희,1,1
흠기돈,1,1
포지올리,1,1
페터뷔르거,1,1
레나토포지을리,1,1
이창욱,1,1
조동일,1,1
발터벤야世,1,1
이성혁,1,1
바뙤,1,1
박통,1,1
전통,1,1
노통,1,1
육사,1,1
전두환,1,1
노영임,1,1
임채성,1,1
이혜경,1,1
신익호,1,1
타타르키비츠,1,1
손효주,1,1
이송회,1,1
이윤정,1,1
신돔옥,1,1
이W장욱,1,1
황병슴,1,1
강5정,1,1
진은염,1,1
식수스,1,1
이은정,1,1
장욱,1,1
카프라,1,1
피에르쌍소,1,1
김완하,1,1
류근,1,1
파스칼키냐르,1,1
이윤택,1,1
박연준,1,1
박지웅,1,1
장은정,1,1
권순부,1,1
변희수,1,1
이와이슌지,1,1
평론가,1,1
지오반니리스타,1,1
송승횐,1,1
진수니,1,1
치헌,1,1
최하인,1,1
하새언,1,1
이은상,1,1
롤랑바르트RolandBarthes,1,1
장콕토,1,1
콕토,1,1
장콕토JeanCocteau,1,1
김흥言,1,1
이상욱,1,1
원혀웅,1,1
양경언,1,1
심봉곤,1,1
김봉곤,1,1
김준인,1,1
민강환,1,1
주민연,1,1
박父수,1,1
주민현,1,1
신재구,1,1
추민현,1,1
김주연,1,1
고명절,1,1
신형절,1,1
휠덜린,1,1
헤겔,1,1
김성수,1,1
릴케,1,1
윤진,1,1
스피노자,1,1
브라이언마수미,1,1
김남조,1,1
잔다르크,1,1
서대경,1,1
조재暑,1,1
다자이오사무,1,1
하이네,1,1
홍성광,1,1
JacquesRanciere,1,1
오윤성,1,1
진태원,1,1
최민홍,1,1
말레비치,1,1
Blechman,1,1
Chari,1,1
Hasan,1,1
장끌레르,1,1
JeanClair,1,1
앙뚜안꽁빠뇽,1,1
이재룡,1,1
최원,1,1
루이-필리쁘,1,1
이현우,1,1
김정숙,1,1
고진,1,1
강희근,1,1
나태주,1,1
고형렬,1,1
최영철,1,1
최서림,1,1
김숭희,1,1
김경미,1,1
김영由,1,1
한영옥,1,1
박찬일,1,1
정한용,1,1
황학주,1,1
신덕룡,1,1
이규리,1,1
한혜영,1,1
이영춘,1,1
박청륭,1,1
최춘희,1,1
정숙자,1,1
전기철,1,1
이정록,1,1
존던,1,1
필리핀,1,1
이용한,1,1
임선기,1,1
이은림,1,1
박해람,1,1
의승희,1,1
최규승,1,1
김은정,1,1
서영처,1,1
김현서,1,1
윤성학,1,1
윤성택,1,1
신종호,1,1
차&룡,1,1
발레리,1,1
이승희,1,1
방민호,1,1
마네,1,1
이동순,1,1
방현석,1,1
유협,1,1
강순,1,1
김학렬,1,1
김리박,1,1
김종철,1,1
타르코프스키,1,1
키아로스타미,1,1
가라타니,1,1
류보선,1,1
김영찬,1,1
김기진,1,1
로띠,1,1
민구,1,1
유계영,1,1
