year,concept,count
2005,젊은시인들,44
2005,서정,26
2005,서정시,25
2005,주체,15
2005,대중문화,12
2005,신화적시간,10
2005,은유,10
2005,욕망,7
2005,서정성,7
2005,시간,6
2005,자연,6
2005,서정시인,6
2005,환상성,6
2005,생태시,6
2005,기원,6
2005,새로운서정,5
2005,동일성,5
2005,불화,5
2005,여성성,5
2005,자본주의,5
2006,젊은시인들,80
2006,미래파,47
2006,환상,18
2006,서정시,13
2006,서정,13
2006,서정적주체,13
2006,주체의분열,11
2006,타자,11
2006,미학,9
2006,감각,9
2006,혁명,9
2006,시적인것,9
2006,디아스포라,9
2006,문학의위기,8
2006,자본주의,8
2006,근대문학,8
2006,해체,7
2006,상징계,7
2006,근대적주체,7
2006,디아스포라문학,7
2007,환상,47
2007,환각,27
2007,욕망,24
2007,무의식,17
2007,미디어,15
2007,시뮬라크르,14
2007,정신분석,14
2007,분열분석,11
2007,먹기,11
2007,말하기,11
2007,소외,10
2007,시적스크린,10
2007,탈주,9
2007,분열,9
2007,표면의언어,8
2007,서정,7
2007,오만,7
2007,노동,7
2007,무의식적욕망,7
2007,시적시선,7
2008,환상,30
2008,시뮬라크르,23
2008,실재,20
2008,전위시,18
2008,우발성의시,12
2008,아우라,12
2008,표면의시,12
2008,평면의시,11
2008,마녀적무의식의시,10
2008,환상시,10
2008,향유,10
2008,우발성,9
2008,무의식적타자성,9
2008,무의식,9
2008,노동자들,8
2008,무의미시,8
2008,자본주의,7
2008,실험적전위시,7
2008,대중문화의패러디,7
2008,리얼리티,7
2009,환상,21
2009,젊은시인들,18
2009,시뮬라크르,17
2009,미래파,16
2009,무의식,15
2009,미로,14
2009,환유,14
2009,은유,14
2009,실재,11
2009,심연,10
2009,향유,9
2009,유령,8
2009,마녀적무의식의시,8
2009,환상시,8
2009,전위,7
2009,그로테스크,7
2009,욕망,7
2009,우발성의시,6
2009,심층의시,6
2009,정신분석학,5
2010,미래파,64
2010,젊은시인들,59
2010,감각,50
2010,서정,38
2010,서정시,34
2010,그로테스크,23
2010,환상,22
2010,아방가르드,22
2010,타자,21
2010,실험,20
2010,혼종성,20
2010,주체,16
2010,자아,16
2010,자치지구,16
2010,노동시,15
2010,실재,13
2010,유토피아,13
2010,혼종,12
2010,자본주의,12
2010,알레고리,12
2011,미래파,26
2011,타자,15
2011,타자성,6
2011,여성성,6
2011,공동체,6
2011,서정,6
2011,유희,5
2011,유희세계,5
2011,시적주체,4
2011,혁명가,4
2011,시인,4
2011,여성문학,3
2011,소통,3
2011,학살,3
2011,유희적특성,3
2011,소통의부재,3
2011,난해시,3
2011,사건,3
2011,남성성,2
2011,문학과윤리,2
2013,서정,29
2013,환상,12
2013,서정시,12
2013,미래파,11
2013,주체,10
2013,이주노동자,9
2013,한국문학,8
2013,극적독백,8
2013,미래파논쟁,8
2013,2000년대문학,7
2013,문예지,7
2013,딕션,7
2013,가난,6
2013,불안,6
2013,서정적주체,6
2013,신자유주의,5
2013,노숙자,5
2013,빅토리아시대,5
2013,감응적인물,5
2013,환상시,5
2015,패러디,26
2015,풍자,6
2015,시대담론,4
2015,서민,3
2015,자본주의,3
2015,재현,3
2015,상호텍스트성,2
2015,소시민,2
2015,저임금,2
2015,기초수급자,2
2015,비정규직,2
2015,창조신화,2
2015,시조,2
2015,실직,2
2015,사회•문화적의미,1
2015,포스트모더니즘,1
2015,모더니즘,1
2015,거대담론,1
2015,상호작용,1
2015,아우라,1
2016,미래파,38
2016,젊은시인들,12
2016,새로움,8
2016,미래파논쟁,6
2016,환상,6
2016,소통,5
2016,조상,5
2016,못된짓,5
2016,불안,4
2016,살의,4
2016,난해성,3
2016,감각의과잉,3
2016,실재,3
2016,전복,3
2016,자존감,3
2016,현실,3
2016,비현실,3
2016,종속성,3
2016,억압,3
2016,납화살,3
2017,어른,10
2017,겨울,8
2017,슬픔,4
2017,고통,4
2017,죽음,4
2017,메타시,4
2017,미래파,2
2017,한국시,2
2017,절충,2
2017,한국시의갱신,2
2017,아이,2
2017,비밀,2
2017,부끄러움,2
2017,순수,2
2017,유령,2
2017,부정,2
2017,혐오,2
2017,로스트제너레이션,2
2017,비트제너레이션,2
2017,갱신,1
2018,정동,9
2018,주체,7
2018,리듬,6
2018,미래파,5
2018,세대론,4
2018,이미지,4
2018,시인,4
2018,시단,3
2018,미래파논쟁,3
2018,언어의가능성,3
2018,산문시,3
2018,알레고리,3
2018,정치적인것,3
2018,독자,3
2018,소통의부재,2
2018,원로시인들,2
2018,젊은시인들,2
2018,쉬운시,2
2018,난해한시,2
2018,소통,2
2019,미래파,17
2019,공감,12
2019,비성년선언,9
2019,원형의인간학,8
2019,비정형의인간학,8
2019,젊은시인들,7
2019,서정시,5
2019,단독성,5
2019,욕망,5
2019,자아,5
2019,서정적자아,5
2019,알레고리,4
2019,일상,4
2019,타자,4
2019,페미니즘,4
2019,인간학,4
2019,이데올로기,3
2019,개성,3
2019,보편성,3
2019,상징,3
2021,1인칭,9
2021,세월호사건,7
2021,세월호,6
2021,페미니즘,6
2021,서정시,5
2021,퀴어,4
2021,슬픔,4
2021,민중,3
2021,성소수자,3
2021,존재,2
2021,애도,2
2021,페미니스트,2
2021,감정이입,2
2021,차별,2
2021,비인간,2
2021,되기,2
2021,독자,2
2021,시적인것,2
2021,3인칭,2
2021,뉴웨이브,2
2024,의미주의,24
2024,미래파,22
2024,한국시,12
2024,매너리즘,9
2024,한국문학,5
2024,르네상스,4
2024,스펙타클의시대,4
2024,전언,4
2024,반反-소통,4
2024,설움,3
2024,역동성,3
2024,SNS,3
2024,반反―소통의미학,3
2024,형태파괴,3
2024,커뮤니케이션,3
2024,문자반죽,2
2024,창조,2
2024,사이키델릭효과,2
2024,바로크,2
2024,시인들,2
