Source,Target,Weight,Type
김민정,황병승,26,Undirected
김민정,이민하,21,Undirected
이민하,황병승,21,Undirected
김행숙,황병승,19,Undirected
김민정,이장욱,18,Undirected
이장욱,황병승,18,Undirected
권혁웅,황병승,18,Undirected
김민정,김행숙,17,Undirected
김행숙,이민하,16,Undirected
김행숙,진은영,16,Undirected
권혁웅,김민정,16,Undirected
이장욱,진은영,15,Undirected
김민정,유형진,15,Undirected
김행숙,이장욱,15,Undirected
유형진,황병승,15,Undirected
김민정,진은영,14,Undirected
이민하,이장욱,14,Undirected
진은영,황병승,14,Undirected
김언,황병승,14,Undirected
김민정,이근화,13,Undirected
유형진,이민하,13,Undirected
이근화,황병승,13,Undirected
이민하,진은영,13,Undirected
장석원,황병승,13,Undirected
김민정,김언,12,Undirected
권혁웅,이장욱,12,Undirected
김경주,황병승,12,Undirected
김민정,장석원,12,Undirected
신형철,황병승,12,Undirected
김근,김민정,11,Undirected
권혁웅,김경주,11,Undirected
권혁웅,신형철,11,Undirected
신형철,이장욱,11,Undirected
김행숙,이근화,11,Undirected
들뢰즈,황병승,11,Undirected
유형진,이장욱,11,Undirected
김수영,황병승,11,Undirected
김언,이민하,11,Undirected
신해욱,황병승,11,Undirected
황병승,황지우,11,Undirected
권혁웅,이민하,11,Undirected
김경주,진은영,10,Undirected
김행숙,유형진,10,Undirected
이근화,이민하,10,Undirected
이근화,진은영,10,Undirected
김민정,김수영,10,Undirected
김민정,이상,10,Undirected
문태준,황병승,10,Undirected
김민정,김이듬,10,Undirected
김언,김행숙,10,Undirected
김이듬,황병승,10,Undirected
김행숙,신해욱,10,Undirected
김행숙,신형철,10,Undirected
이성복,황병승,10,Undirected
김근,황병승,10,Undirected
권혁웅,유형진,10,Undirected
김경주,김민정,10,Undirected
권혁웅,진은영,9,Undirected
김경주,이장욱,9,Undirected
신형철,진은영,9,Undirected
김민정,들뢰즈,9,Undirected
김행숙,들뢰즈,9,Undirected
들뢰즈,이민하,9,Undirected
들뢰즈,이장욱,9,Undirected
이근화,이장욱,9,Undirected
김민정,문태준,9,Undirected
김수영,이민하,9,Undirected
이상,황병승,9,Undirected
김민정,박상수,9,Undirected
김민정,신해욱,9,Undirected
김이듬,김행숙,9,Undirected
김이듬,신해욱,9,Undirected
김이듬,이민하,9,Undirected
김행숙,박상수,9,Undirected
박상수,황병승,9,Undirected
박상순,황병승,9,Undirected
신해욱,이민하,9,Undirected
권혁웅,장석원,9,Undirected
권혁웅,김언,9,Undirected
김언,유형진,9,Undirected
권혁웅,김행숙,9,Undirected
김민정,신형철,9,Undirected
김언,이장욱,9,Undirected
고봉준,김민정,8,Undirected
심보선,진은영,8,Undirected
들뢰즈,진은영,8,Undirected
유형진,진은영,8,Undirected
이민하,이상,8,Undirected
김민정,박상순,8,Undirected
김이듬,진은영,8,Undirected
박상수,이민하,8,Undirected
박상순,이민하,8,Undirected
신해욱,진은영,8,Undirected
조연호,황병승,8,Undirected
김수영,김행숙,8,Undirected
김수영,진은영,8,Undirected
이성복,황지우,8,Undirected
유형진,장석원,8,Undirected
김근,이민하,8,Undirected
김근,유형진,8,Undirected
김민정,이성복,8,Undirected
이민하,장석원,8,Undirected
김경주,김행숙,8,Undirected
김경주,이근화,8,Undirected
강정,황병승,8,Undirected
김경주,장석원,8,Undirected
김행숙,장석원,8,Undirected
박상수,이장욱,8,Undirected
이근화,장석원,8,Undirected
이장욱,장석원,8,Undirected
이수명,황병승,8,Undirected
김근,김언,7,Undirected
고봉준,황병승,7,Undirected
들뢰즈,이근화,7,Undirected
김수영,유형진,7,Undirected
김수영,이장욱,7,Undirected
이상,이장욱,7,Undirected
김민정,조연호,7,Undirected
김언,박상수,7,Undirected
김언,신해욱,7,Undirected
김언,진은영,7,Undirected
김행숙,조연호,7,Undirected
김행숙,하재연,7,Undirected
박상수,진은영,7,Undirected
진은영,하재연,7,Undirected
김수영,들뢰즈,7,Undirected
권혁웅,황지우,7,Undirected
김근,김행숙,7,Undirected
권혁웅,김근,7,Undirected
권혁웅,문태준,7,Undirected
김근,장석원,7,Undirected
이민하,이성복,7,Undirected
장정일,황병승,7,Undirected
김수이,황병승,7,Undirected
강정,권혁웅,7,Undirected
강정,김경주,7,Undirected
김민정,박진성,7,Undirected
김민정,이기인,7,Undirected
김민정,이영주,7,Undirected
김민정,황지우,7,Undirected
김수영,김이듬,7,Undirected
김수영,황지우,7,Undirected
박진성,황병승,7,Undirected
유형진,이기인,7,Undirected
이기인,황병승,7,Undirected
이민하,이영주,7,Undirected
이영주,황병승,7,Undirected
장정일,황지우,7,Undirected
함성호,황병승,7,Undirected
김경주,이민하,7,Undirected
김민정,김혜순,7,Undirected
김수영,이근화,7,Undirected
김혜순,이민하,7,Undirected
김혜순,황병승,7,Undirected
김수이,이장욱,7,Undirected
이기인,이장욱,7,Undirected
김언,신형철,7,Undirected
신형철,유형진,7,Undirected
신형철,이민하,7,Undirected
강정,김민정,7,Undirected
강정,장석원,7,Undirected
박상수,장석원,7,Undirected
신형철,장석원,7,Undirected
김근,이장욱,7,Undirected
김이듬,이근화,7,Undirected
김이듬,이장욱,7,Undirected
신해욱,이장욱,7,Undirected
김행숙,황지우,7,Undirected
이수명,이장욱,7,Undirected
권혁웅,심보선,6,Undirected
김경주,신형철,6,Undirected
김경주,심보선,6,Undirected
심보선,이장욱,6,Undirected
이장욱,정영,6,Undirected
유형진,이근화,6,Undirected
문태준,유형진,6,Undirected
문태준,이민하,6,Undirected
유형진,이상,6,Undirected
김민정,하재연,6,Undirected
김언,김이듬,6,Undirected
김이듬,조연호,6,Undirected
박상수,신해욱,6,Undirected
박상순,신해욱,6,Undirected
신해욱,하재연,6,Undirected
이민하,조연호,6,Undirected
이민하,하재연,6,Undirected
조연호,진은영,6,Undirected
하재연,황병승,6,Undirected
들뢰즈,신형철,6,Undirected
권혁웅,이성복,6,Undirected
김경주,이성복,6,Undirected
김경주,황지우,6,Undirected
박남철,황지우,6,Undirected
최승자,황병승,6,Undirected
김행숙,이상,6,Undirected
기형도,이성복,6,Undirected
기형도,황병승,6,Undirected
김민정,장정일,6,Undirected
유형진,이성복,6,Undirected
권혁웅,이경수,6,Undirected
김수이,김언,6,Undirected
권혁웅,김수이,6,Undirected
권혁웅,이기인,6,Undirected
김근,김이듬,6,Undirected
김민정,진수미,6,Undirected
김수영,신해욱,6,Undirected
김수영,이성복,6,Undirected
김언,박진성,6,Undirected
김언,이기인,6,Undirected
김언,이영주,6,Undirected
김이듬,유형진,6,Undirected
김이듬,황지우,6,Undirected
박진성,유형진,6,Undirected
박진성,이민하,6,Undirected
유형진,이영주,6,Undirected
이기인,이민하,6,Undirected
이민하,진수미,6,Undirected
이민하,황지우,6,Undirected
진수미,황병승,6,Undirected
함성호,황지우,6,Undirected
황병숭,황병승,6,Undirected
김경주,조연호,6,Undirected
김민정,김수이,6,Undirected
김민정,심보선,6,Undirected
김수영,김혜순,6,Undirected
김수이,김행숙,6,Undirected
김수이,이민하,6,Undirected
김수이,진은영,6,Undirected
김행숙,이성복,6,Undirected
심보선,황병승,6,Undirected
김수이,신형철,6,Undirected
김행숙,이영주,6,Undirected
이영주,이장욱,6,Undirected
강정,김행숙,6,Undirected
강정,박상수,6,Undirected
강정,신형철,6,Undirected
강정,이장욱,6,Undirected
권혁웅,박상수,6,Undirected
권혁웅,이근화,6,Undirected
김경주,박상수,6,Undirected
박상수,신형철,6,Undirected
박상수,이근화,6,Undirected
장석원,진은영,6,Undirected
김민정,정재학,6,Undirected
김수영,장석원,6,Undirected
김혜순,이장욱,6,Undirected
박상수,유형진,6,Undirected
신해욱,이근화,6,Undirected
유형진,정재학,6,Undirected
이장욱,정재학,6,Undirected
정재학,황병승,6,Undirected
김민정,이수명,6,Undirected
박상순,이수명,6,Undirected
이장욱,황지우,6,Undirected
이상,진은영,6,Undirected
김민정,이원,6,Undirected
이원,황병승,6,Undirected
고봉준,김언,5,Undirected
권혁웅,이광호,5,Undirected
랑시에르,진은영,5,Undirected
강성은,김민정,5,Undirected
강성은,김행숙,5,Undirected
강성은,이근화,5,Undirected
강성은,이민하,5,Undirected
강성은,이장욱,5,Undirected
강성은,황병승,5,Undirected
고봉준,이민하,5,Undirected
고봉준,이장욱,5,Undirected
김민정,김언희,5,Undirected
김민정,장이지,5,Undirected
김민정,최승호,5,Undirected
김언희,황병승,5,Undirected
이민하,최승호,5,Undirected
최승호,황병승,5,Undirected
김수영,문태준,5,Undirected
김수영,이상,5,Undirected
문태준,이상,5,Undirected
문태준,이장욱,5,Undirected
김민정,이승원,5,Undirected
김언,박상순,5,Undirected
김이듬,박상수,5,Undirected
김이듬,박상순,5,Undirected
김이듬,하재연,5,Undirected
김행숙,박상순,5,Undirected
박상순,진은영,5,Undirected
신해욱,조연호,5,Undirected
이승원,황병승,5,Undirected
김수영,신형철,5,Undirected
김경주,최승자,5,Undirected
박남철,황병승,5,Undirected
이성복,최승자,5,Undirected
최승자,황지우,5,Undirected
권혁웅,이상,5,Undirected
권혁웅,장정일,5,Undirected
기형도,김민정,5,Undirected
김근,이성복,5,Undirected
이민하,장정일,5,Undirected
이상,장정일,5,Undirected
이성복,장정일,5,Undirected
문태준,진은영,5,Undirected
이경수,이장욱,5,Undirected
송찬호,황병승,5,Undirected
권혁웅,김수영,5,Undirected
권혁웅,김이듬,5,Undirected
권혁웅,신해욱,5,Undirected
권혁웅,이영주,5,Undirected
권혁웅,황병숭,5,Undirected
김근,김수영,5,Undirected
김근,신해욱,5,Undirected
김근,이기인,5,Undirected
김민정,함성호,5,Undirected
김수영,김언,5,Undirected
김수영,박상순,5,Undirected
김수영,이기인,5,Undirected
김수영,장정일,5,Undirected
김수영,함성호,5,Undirected
김언,진수미,5,Undirected
김이듬,이기인,5,Undirected
김이듬,이성복,5,Undirected
김이듬,이영주,5,Undirected
김이듬,장정일,5,Undirected
박남철,장정일,5,Undirected
박진성,이기인,5,Undirected
신해욱,유형진,5,Undirected
신해욱,이영주,5,Undirected
신해욱,황지우,5,Undirected
유형진,진수미,5,Undirected
유형진,황지우,5,Undirected
이기인,진수미,5,Undirected
김경주,김수영,5,Undirected
김민정,최승자,5,Undirected
김수영,조연호,5,Undirected
김행숙,김혜순,5,Undirected
김행숙,심보선,5,Undirected
김행숙,진수미,5,Undirected
김행숙,최승자,5,Undirected
김혜순,이근화,5,Undirected
김혜순,진은영,5,Undirected
문태준,이근화,5,Undirected
백무산,심보선,5,Undirected
백무산,진은영,5,Undirected
이근화,이성복,5,Undirected
이근화,조연호,5,Undirected
이민하,최승자,5,Undirected
이성복,진은영,5,Undirected
이기인,진은영,5,Undirected
김민정,이경수,5,Undirected
김수이,유형진,5,Undirected
이경수,황병승,5,Undirected
강정,이근화,5,Undirected
강정,이민하,5,Undirected
강정,진은영,5,Undirected
김언,장석원,5,Undirected
들뢰즈,장석원,5,Undirected
들뢰즈,지젝,5,Undirected
들뢰즈,하재연,5,Undirected
신형철,지젝,5,Undirected
이근화,하재연,5,Undirected
이장욱,하재연,5,Undirected
지젝,황병승,5,Undirected
권혁웅,조연호,5,Undirected
김근,박상수,5,Undirected
김근,신형철,5,Undirected
김민정,김춘수,5,Undirected
김민정,박판식,5,Undirected
김수영,정재학,5,Undirected
김언,박판식,5,Undirected
김언,정재학,5,Undirected
김이듬,들뢰즈,5,Undirected
김이듬,장석원,5,Undirected
김춘수,이장욱,5,Undirected
김행숙,박판식,5,Undirected
김행숙,이기인,5,Undirected
김행숙,정재학,5,Undirected
김혜순,들뢰즈,5,Undirected
들뢰즈,신해욱,5,Undirected
박판식,유형진,5,Undirected
박판식,이민하,5,Undirected
박판식,이장욱,5,Undirected
박판식,황병승,5,Undirected
이기인,정재학,5,Undirected
이민하,정재학,5,Undirected
고봉준,권혁웅,5,Undirected
김경주,김근,5,Undirected
김경주,김이듬,5,Undirected
김경주,유형진,5,Undirected
김민정,정영,5,Undirected
김혜순,박상순,5,Undirected
김혜순,이수명,5,Undirected
박상순,이장욱,5,Undirected
박진성,이장욱,5,Undirected
신해욱,이수명,5,Undirected
이근화,황지우,5,Undirected
이민하,이수명,5,Undirected
이성복,이장욱,5,Undirected
이수명,진은영,5,Undirected
장석원,황지우,5,Undirected
정영,황병승,5,Undirected
진은영,황지우,5,Undirected
김행숙,장정일,5,Undirected
들뢰즈,황지우,5,Undirected
성기완,황병승,5,Undirected
들뢰즈,이상,5,Undirected
이근화,이상,5,Undirected
기형도,황지우,5,Undirected
이민하,이원,5,Undirected
이원,이장욱,5,Undirected
강정,유형진,5,Undirected
김경주,정영,4,Undirected
랑시에르,신형철,4,Undirected
랑시에르,심보선,4,Undirected
신형철,심보선,4,Undirected
이광호,이장욱,4,Undirected
정영,진은영,4,Undirected
강성은,들뢰즈,4,Undirected
강성은,유형진,4,Undirected
강성은,진은영,4,Undirected
고봉준,유형진,4,Undirected
김민정,벤야민,4,Undirected
김언희,유형진,4,Undirected
김언희,이민하,4,Undirected
김행숙,장이지,4,Undirected
들뢰즈,유형진,4,Undirected
벤야민,이장욱,4,Undirected
벤야민,황병승,4,Undirected
유형진,최승호,4,Undirected
이민하,장이지,4,Undirected
장이지,황병승,4,Undirected
진은영,최승호,4,Undirected
김민정,보들레르,4,Undirected
김민정,손택수,4,Undirected
문태준,벤야민,4,Undirected
문태준,손택수,4,Undirected
보들레르,이장욱,4,Undirected
보들레르,황병승,4,Undirected
손택수,황병승,4,Undirected
김언,조연호,4,Undirected
김이듬,이승원,4,Undirected
김행숙,이승원,4,Undirected
박상수,이승원,4,Undirected
박상수,조연호,4,Undirected
박상수,하재연,4,Undirected
신해욱,이승원,4,Undirected
이민하,이승원,4,Undirected
이승원,진은영,4,Undirected
김수영,랑시에르,4,Undirected
들뢰즈,라캉,4,Undirected
권혁웅,박남철,4,Undirected
박남철,이성복,4,Undirected
프로이트,황병승,4,Undirected
김근,박상순,4,Undirected
김근,이상,4,Undirected
박상순,이상,4,Undirected
권혁웅,기형도,4,Undirected
기형도,유형진,4,Undirected
기형도,이민하,4,Undirected
기형도,이상,4,Undirected
기형도,장정일,4,Undirected
김근,장정일,4,Undirected
문태준,이성복,4,Undirected
문태준,장석원,4,Undirected
서정주,이성복,4,Undirected
서정주,황병승,4,Undirected
유형진,장정일,4,Undirected
이상,이성복,4,Undirected
이상,장석원,4,Undirected
이성복,장석원,4,Undirected
장석원,장정일,4,Undirected
권혁웅,롤랑바르트,4,Undirected
이경수,진은영,4,Undirected
남진우,황병승,4,Undirected
송재학,송찬호,4,Undirected
김경주,김수이,4,Undirected
성기완,이원,4,Undirected
권혁웅,김진수,4,Undirected
권혁웅,박진성,4,Undirected
권혁웅,진수미,4,Undirected
권혁웅,황동규,4,Undirected
김근,김진수,4,Undirected
김근,박진성,4,Undirected
김근,이영주,4,Undirected
김근,진수미,4,Undirected
김근,황지우,4,Undirected
김민정,김지하,4,Undirected
김민정,김진수,4,Undirected
김민정,박남철,4,Undirected
김민정,백무산,4,Undirected
김민정,송찬호,4,Undirected
김민정,허수경,4,Undirected
김민정,황동규,4,Undirected
김민정,황병숭,4,Undirected
김수영,박남철,4,Undirected
김수영,박진성,4,Undirected
김수영,백무산,4,Undirected
김수영,송찬호,4,Undirected
김수영,진수미,4,Undirected
김수영,최승호,4,Undirected
김언,이성복,4,Undirected
김언,황지우,4,Undirected
김이듬,박남철,4,Undirected
김이듬,박진성,4,Undirected
김이듬,진수미,4,Undirected
김이듬,함성호,4,Undirected
김지하,문태준,4,Undirected
김지하,황병승,4,Undirected
김진수,황병승,4,Undirected
문태준,백무산,4,Undirected
문태준,최승호,4,Undirected
박남철,송찬호,4,Undirected
박남철,신해욱,4,Undirected
박남철,이민하,4,Undirected
박노해,백무산,4,Undirected
박상순,박진성,4,Undirected
박상순,유형진,4,Undirected
박상순,이성복,4,Undirected
박상순,함성호,4,Undirected
박상순,황지우,4,Undirected
박진성,신해욱,4,Undirected
박진성,이성복,4,Undirected
박진성,이영주,4,Undirected
박진성,진수미,4,Undirected
박진성,함성호,4,Undirected
박진성,황지우,4,Undirected
백무산,이민하,4,Undirected
백무산,최승호,4,Undirected
백무산,황병승,4,Undirected
송찬호,이민하,4,Undirected
송찬호,이성복,4,Undirected
송찬호,최승호,4,Undirected
신해욱,이기인,4,Undirected
신해욱,이성복,4,Undirected
신해욱,장정일,4,Undirected
신해욱,진수미,4,Undirected
신해욱,함성호,4,Undirected
오규원,황지우,4,Undirected
이기인,이성복,4,Undirected
이기인,이영주,4,Undirected
이기인,황지우,4,Undirected
이민하,함성호,4,Undirected
이성복,진수미,4,Undirected
이성복,함성호,4,Undirected
이영주,진수미,4,Undirected
장정일,함성호,4,Undirected
허수경,황병승,4,Undirected
김경주,문태준,4,Undirected
김민정,조강석,4,Undirected
김수영,심보선,4,Undirected
김수영,최승자,4,Undirected
김행숙,문태준,4,Undirected
김행숙,조강석,4,Undirected
김혜순,송찬호,4,Undirected
김혜순,이성복,4,Undirected
김혜순,최승호,4,Undirected
문태준,심보선,4,Undirected
이근화,최승자,4,Undirected
이성복,조연호,4,Undirected
조강석,진은영,4,Undirected
조강석,황병승,4,Undirected
조연호,진수미,4,Undirected
진은영,최승자,4,Undirected
김경주,이기인,4,Undirected
김수이,이기인,4,Undirected
이영주,진은영,4,Undirected
강정,김언,4,Undirected
권혁웅,들뢰즈,4,Undirected
김경주,김언,4,Undirected
김언,들뢰즈,4,Undirected
김언,이근화,4,Undirected
신형철,이근화,4,Undirected
이장욱,지젝,4,Undirected
강성은,김이듬,4,Undirected
강성은,신해욱,4,Undirected
권혁웅,정재학,4,Undirected
김근,박판식,4,Undirected
김근,이근화,4,Undirected
김근,정재학,4,Undirected
