Id,Label,mentions,doc_freq,main_role
이광호,이광호,12,5,critic
황병승,황병승,194,35,poet
이시영,이시영,3,3,poet
김경인,김경인,2,2,poet
자크랑시에르,자크랑시에르,4,2,foreigner
최하연,최하연,4,3,poet
김참,김참,2,2,poet
조말선,조말선,4,4,poet
신동엽,신동엽,2,2,poet
오세영,오세영,4,4,poet
위선환,위선환,7,2,poet
김록,김록,13,3,poet
심보선,심보선,33,12,poet
강정,강정,27,9,poet
서효인,서효인,3,3,poet
바흐친,바흐친,3,3,foreigner
이상,이상,32,13,poet
김혜순,김혜순,14,8,poet
김인환,김인환,7,2,critic
이병률,이병률,3,2,poet
김중일,김중일,9,3,poet
문태준,문태준,20,13,poet
김경주,김경주,101,15,poet
손택수,손택수,7,5,poet
이형기,이형기,4,2,poet
성미정,성미정,4,3,poet
신용목,신용목,3,3,poet
신동옥,신동옥,3,2,poet
이승원,이승원,7,5,critic
하종오,하종오,10,4,poet
박성우,박성우,3,3,poet
레비-스트로스,레비-스트로스,2,2,foreigner
함돈균,함돈균,8,3,critic
안현미,안현미,20,3,poet
최성만,최성만,2,2,translator
김소연,김소연,2,2,poet
이문재,이문재,7,5,poet
황병송,황병송,2,2,poet
류신,류신,3,2,critic
브레히트,브레히트,5,2,foreigner
이제니,이제니,7,3,poet
황성희,황성희,2,2,poet
진수미,진수미,7,6,poet
알랭바디우,알랭바디우,6,2,foreigner
황인찬,황인찬,17,3,poet
함기석,함기석,4,3,poet
김이듬,김이듬,13,10,poet
미하일바흐친,미하일바흐친,3,2,foreigner
리오타르,리오타르,5,2,foreigner
김춘수,김춘수,22,5,poet
들뢰즈,들뢰즈,24,13,foreigner
박정대,박정대,7,2,poet
유하,유하,7,3,poet
곽은영,곽은영,2,2,poet
김수이,김수이,42,10,critic
이준규,이준규,10,4,poet
송재학,송재학,23,4,poet
박진,박진,3,2,critic
박판식,박판식,18,5,poet
황혜경,황혜경,4,2,other
이근화,이근화,33,13,poet
신영배,신영배,9,4,poet
정재학,정재학,26,7,poet
김영승,김영승,2,2,poet
이영광,이영광,4,2,poet
서정주,서정주,6,4,poet
소월,소월,2,2,poet
김지하,김지하,5,5,poet
유희경,유희경,4,2,poet
조정권,조정권,2,2,poet
장정일,장정일,9,8,writer
서동욱,서동욱,7,4,scholar
조동범,조동범,2,2,poet
신해욱,신해욱,41,12,poet
라캉,라캉,6,4,foreigner
이은봉,이은봉,2,2,poet
유형진,유형진,24,15,poet
박라연,박라연,2,2,poet
지젝,지젝,9,6,foreigner
함성호,함성호,9,7,poet
김현,김현,6,2,critic
김근,김근,29,11,poet
부르디외,부르디외,2,2,foreigner
문혜원,문혜원,2,2,critic
이승훈,이승훈,2,2,poet
박동억,박동억,3,2,critic
박상순,박상순,12,9,poet
안도현,안도현,3,2,poet
랭보,랭보,6,2,foreigner
김안,김안,2,2,poet
푸코,푸코,3,2,foreigner
백무산,백무산,15,7,poet
이병철,이병철,2,2,writer
김명인,김명인,3,2,poet
하재연,하재연,19,7,poet
송경동,송경동,10,5,poet
박진성,박진성,11,7,poet
아도르노,아도르노,4,3,foreigner
이영주,이영주,8,7,poet
문인수,문인수,6,2,poet
신기섭,신기섭,2,2,critic
최승호,최승호,13,6,poet
정영,정영,11,6,poet
이남호,이남호,3,2,critic
김행숙,김행숙,70,22,poet
정과리,정과리,2,2,critic
황현산,황현산,2,2,critic
오은,오은,7,5,poet
프로이트,프로이트,4,4,foreigner
권혁응,권혁응,4,4,critic
박서원,박서원,6,4,poet
박수연,박수연,4,3,critic
랑시에르,랑시에르,20,5,foreigner
베를렌,베를렌,2,2,foreigner
박준,박준,14,3,poet
시인,시인,3,2,other
김병호,김병호,5,3,critic
플라톤,플라톤,13,3,foreigner
박상수,박상수,22,10,poet
김승일,김승일,7,3,poet
가라타니고진,가라타니고진,3,3,foreigner
황지우,황지우,18,13,poet
송찬호,송찬호,34,6,poet
최승자,최승자,10,6,poet
서정학,서정학,2,2,critic
진은영,진은영,55,21,poet
이민하,이민하,75,21,poet
신경림,신경림,3,2,poet
이경수,이경수,36,6,critic
양창렬,양창렬,3,2,translator
하상일,하상일,5,4,critic
신형철,신형철,53,15,critic
강동호,강동호,2,2,critic
김진수,김진수,35,4,poet
말라르메,말라르메,3,3,foreigner
김기택,김기택,10,3,poet
고명철,고명철,4,2,critic
김언,김언,38,15,poet
롤랑바르트,롤랑바르트,6,4,foreigner
백석,백석,4,3,poet
권혁웅,권혁웅,99,24,critic
진이정,진이정,3,3,poet
박주택,박주택,8,3,critic
바르트,바르트,7,2,foreigner
오규원,오규원,7,4,poet
최치언,최치언,3,2,poet
아리스토텔레스,아리스토텔레스,8,2,foreigner
강계숙,강계숙,44,3,critic
이숭원,이숭원,5,3,critic
송승환,송승환,4,3,poet
고영민,고영민,4,2,poet
시인들,시인들,2,2,poet
이수명,이수명,13,9,poet
김구용,김구용,5,2,poet
이기성,이기성,13,4,critic
김사인,김사인,10,3,poet
고봉준,고봉준,19,9,critic
이윤학,이윤학,2,2,poet
니체,니체,4,4,foreigner
조연호,조연호,18,8,poet
이장욱,이장욱,82,24,poet
데카르트,데카르트,6,4,foreigner
정한아,정한아,3,2,novelist
엘리엇,엘리엇,4,2,foreigner
벤야민,벤야민,7,5,foreigner
조연정,조연정,2,2,critic
장이지,장이지,23,5,poet
이성복,이성복,20,10,poet
기형도,기형도,13,6,poet
김형중,김형중,9,3,critic
유홍준,유홍준,2,2,scholar
수전손택,수전손택,3,2,foreigner
채호기,채호기,2,2,poet
강성은,강성은,5,5,poet
성찬경,성찬경,2,2,poet
하이데거,하이데거,7,2,foreigner
장석주,장석주,13,3,poet
김종삼,김종삼,5,4,poet
장석원,장석원,32,13,poet
조강석,조강석,37,5,critic
문성해,문성해,2,2,poet
슬라보예지젝,슬라보예지젝,4,3,foreigner
이하석,이하석,2,2,poet
차창룡,차창룡,19,2,poet
김언희,김언희,10,5,poet
박남철,박남철,15,7,poet
나희덕,나희덕,7,3,poet
김신용,김신용,12,3,poet
박노해,박노해,7,6,poet
장인수,장인수,2,2,poet
김홍중,김홍중,4,3,scholar
함민복,함민복,6,2,poet
김민정,김민정,132,30,poet
황병숭,황병숭,17,6,poet
이성미,이성미,4,2,poet
이우성,이우성,13,3,poet
남진우,남진우,8,4,poet
김소월,김소월,6,2,poet
이재훈,이재훈,2,2,poet
가타리,가타리,3,3,foreigner
랑씨에르,랑씨에르,15,2,foreigner
이기철,이기철,2,2,poet
이원,이원,17,7,poet
김성규,김성규,3,3,poet
칸트,칸트,2,2,foreigner
장석남,장석남,3,2,poet
바슐라르,바슐라르,2,2,foreigner
야콥슨,야콥슨,3,2,foreigner
이경림,이경림,2,2,poet
신철규,신철규,5,2,poet
허수경,허수경,22,4,poet
이기인,이기인,14,8,poet
김수영,김수영,46,12,poet
성기완,성기완,12,6,poet
김정환,김정환,5,2,poet
황동규,황동규,5,4,poet
보들레르,보들레르,4,4,foreigner
유성호,유성호,16,3,critic
김남주,김남주,2,2,poet
김선우,김선우,2,2,poet
