Source,Target,Weight,Type
고봉준,김민정,4,Directed
오형엽,황병승,4,Directed
오형엽,김민정,4,Directed
오형엽,이민하,4,Directed
오형엽,이장욱,4,Directed
고봉준,이장욱,3,Directed
고봉준,진은영,3,Directed
고봉준,황병승,3,Directed
오형엽,이상,3,Directed
오형엽,진은영,3,Directed
오형엽,김이듬,3,Directed
오형엽,조말선,3,Directed
오형엽,김행숙,3,Directed
오형엽,신해욱,3,Directed
오형엽,하재연,3,Directed
오형엽,이근화,3,Directed
오형엽,김혜순,3,Directed
오형엽,성기완,3,Directed
오형엽,이원,3,Directed
오형엽,박상순,3,Directed
오형엽,이수명,3,Directed
고봉준,김언,2,Directed
고봉준,이민하,2,Directed
고봉준,유형진,2,Directed
고봉준,김행숙,2,Directed
고봉준,장이지,2,Directed
고봉준,곽은영,2,Directed
권혁웅,황병승,2,Directed
권혁웅,김민정,2,Directed
박동억,문태준,2,Directed
박동억,신용목,2,Directed
박동억,박준,2,Directed
박동억,서효인,2,Directed
신형철,황병승,2,Directed
신형철,황지우,2,Directed
신형철,함성호,2,Directed
오형엽,이영주,2,Directed
오형엽,정영,2,Directed
오형엽,신영배,2,Directed
오형엽,강성은,2,Directed
오형엽,김소월,2,Directed
오형엽,김춘수,2,Directed
오형엽,김수영,2,Directed
오형엽,이승훈,2,Directed
오형엽,황지우,2,Directed
오형엽,박남철,2,Directed
오형엽,이경림,2,Directed
오형엽,유하,2,Directed
오형엽,송찬호,2,Directed
오형엽,함성호,2,Directed
오형엽,김종삼,2,Directed
오형엽,이성복,2,Directed
오형엽,기형도,2,Directed
고명철,임성용,1,Directed
고명철,송경동,1,Directed
고명철,황규관,1,Directed
고명철,표성배,1,Directed
고명철,조영관,1,Directed
고명철,하종오,1,Directed
고명철,김해자,1,Directed
고봉준,광병승,1,Directed
고봉준,김근,1,Directed
고봉준,심보선,1,Directed
고봉준,이수형,1,Directed
고봉준,허윤진,1,Directed
고봉준,김나영,1,Directed
고봉준,문성해,1,Directed
고봉준,마경덕,1,Directed
고봉준,김경주,1,Directed
고봉준,윤석정,1,Directed
고봉준,윤진화,1,Directed
고봉준,김륭,1,Directed
고봉준,이은규,1,Directed
고봉준,박미산,1,Directed
고봉준,이선애,1,Directed
고봉준,문정,1,Directed
고봉준,유희경,1,Directed
고봉준,이제니,1,Directed
고봉준,양수덕,1,Directed
고봉준,이우성,1,Directed
고봉준,강윤미,1,Directed
고봉준,신철규,1,Directed
고봉준,안미옥,1,Directed
고봉준,김나정,1,Directed
고봉준,송욱영,1,Directed
고봉준,우승미,1,Directed
고봉준,진보경,1,Directed
