entity,total_mentions,doc_freq
문학과지성사,45,13
창비,28,9
문학동네,25,12
민음사,17,12
문학과사회,15,1
랜덤하우스중앙,11,6
중앙일보,5,5
세계사,4,4
문화예술위원회,4,1
서울신문,3,3
창작과비평사,3,2
열림원,3,3
상하이앨리스환악단,3,1
고석규비평문학상,2,2
대한매일,2,2
창비）,2,1
프랑스,2,2
실천문학사,2,2
역락,2,2
한국시단,2,2
나남,2,2
경회대,2,1
독일,2,2
국민은행,2,1
새물결,2,2
한길사,2,2
천년의시작,2,2
중앙신인문학상,2,2
숭실대,2,2
도서출판b,2,2
동문선,2,2
동국대,2,2
후마니타스,2,1
그린비,2,2
인간사랑,2,1
현대문학,2,2
랜덤하우스코리아,2,2
문예출판사,2,2
애지문학상,2,2
편운문학상,2,2
조선일보,2,1
고려대,2,2
성균문학상,1,1
광운대,1,1
괜덤하우스중앙,1,1
민예총,1,1
컬쳐뉴스,1,1
한국문학,1,1
유럽,1,1
（문지,1,1
문동),1,1
문사',1,1
교보문고,1,1
문학선,1,1
V문예지게재우수작품지원사업,1,1
문예지들,1,1
경희대,1,1
IMF,1,1
아주대,1,1
한양여대,1,1
Rainbow,1,1
부경대,1,1
서정시학,1,1
서울산훈,1,1
불교신문,1,1
서울산업대,1,1
문학동네신인상,1,1
3호선버터플라이,1,1
비행선,1,1
어어부밴드,1,1
연세대,1,1
문예진흥원,1,1
시와시학사,1,1
평단,1,1
경향신문,1,1
문예중앙,1,1
경성대학교출판부,1,1
서울,1,1
한국사회,1,1
콜레주,1,1
파란,1,1
채닐에스,1,1
아난케,1,1
이학사,1,1
문학세계사,1,1
오늘의문예비평,1,1
산지니,1,1
열린책들,1,1
영문학계,1,1
지식을만드는지식,1,1
현대미학사,1,1
영미문학연구회,1,1
이명박정부,1,1
라이바흐,1,1
Verso,1,1
수원대,1,1
시운동,1,1
박이정,1,1
동춘서커스단,1,1
한상민베이커리,1,1
구세군,1,1
영락고아원,1,1
시단,1,1
중앙대,1,1
김달진문학상,1,1
문화일보,1,1
서울대,1,1
홍익대,1,1
세종대,1,1
블랙스톤즈,1,1
메이지대학,1,1
ZUNSoft,1,1
닌텐도,1,1
레프,1,1
국제상황주의자들,1,1
멜껠,1,1
갈무리,1,1
한국외국어대학교,1,1
대한항공사,1,1
제이엔씨,1,1
가람시조문학상,1,1
전남대,1,1
조선대,1,1
목포대,1,1
로맨틱클럽,1,1
고석규비평상,1,1
젊은평론가상,1,1
한양대학교,1,1
참여정부,1,1
충남대,1,1
동아일보,1,1
한국시인협회,1,1
KBS1TV,1,1
국악방송,1,1
세계일보,1,1
동덕여대,1,1
경희사이버대학교,1,1
질마재문학상,1,1
신문문예란,1,1
문예지,1,1
크라잉넛,1,1
성소수자차별반대무지개행동,1,1
대학성소수자모임연대QUV,1,1
미당문학상,1,1
인스타그램,1,1
페이스북,1,1
문착둥내,1,1
랜덤하우스,1,1
한국문인협회,1,1
성균관대,1,1
프랑스파리8대학,1,1
LaFabrique-Editions,1,1
Continuum,1,1
상서각,1,1
미디어버스,1,1
21세기전망,1,1
낙선전,1,1
미국,1,1
미소군정,1,1
조선어학교,1,1
한국문화예술위원회,1,1
문학나눔콘서트,1,1
고려대민족문화연구원,1,1
